col0,col1,col2,col3,col4,col5,col6
2MASS J18412024+5906081,-0.867,19.7,BL Lac object,0.182,280.3346013435388,J2000.0
2MASX J23183687+3048372,-0.891,16.73,BL Lac object,1.3564,349.6537329162641,J2000.0
[VV2006b] J025046.5-005449,-1.003,20.16,BL Lac object,0.0465,42.6936345123729,J2000.0
ICRF J101115.6+010642,-0.769,19.32,BL Lac object,0.3367,152.8151665269923,J2000.0
7C 180810.09+384351.00,-0.73,18.3899,BL Lac object,0.0058,272.4565054775908,J2000.0
2FGL J0033.5-1921,0.062,16.3,BL Lac object,0.1232,8.3932495076796,J2000.0
2MASS J00260837-0005469,-1.062,19.17,BL Lac object,1.6799,6.5349013634557,J2000.0
QSO B1221+24,-0.202,17.37,BL Lac object,0.1159,186.1007766484204,J2000.0
87GB 010048.1+150956,0.98,18.55,BL Lac object,0.3495,15.8583352541853,J2000.0
6dFGS gJ121945.7-031424,-0.368,17.95,BL Lac object,0.1554,184.9404688034094,J2000.0
87GB 232252.5+394057,-0.41,17.8,BL Lac object,0.0527,351.3244600503733,J2000.0
QSO B2247-4222,0.231,18.7,BL Lac object,0.1367,342.5925829546165,J2000.0
QSO J0908+1609,0.223,19.22,BL Lac object,0.5692,137.2330174001598,J2000.0
