col0,col1,col2,col3,col4
equestrian statue of Enrico dell'Acqua,bronze,Busto Arsizio,Italy,Enrico dell'Acqua
Löwenkämpfer,bronze,Berlin,Germany,lance
Hunne zu Pferde,bronze,Berlin,Germany,warrior
Warrior on horseback,marble,Naples,Italy,galea
Equestrian statue of Frederick the Great,bronze,Mitte,Germany,Condé
Statue of Elizabeth II riding Burmese,bronze,Regina,Canada,Burmese
Robert Edward Lee sculpture,bronze,Charlottesville,United States of America,Traveller
Monument to Duque de Caxias,bronze,Campos Elísios,Brazil,"Luís Alves de Lima e Silva, Duke of Caxias"
equestrian statue of Arthur III,bronze,Vannes,France,"Arthur III, Duke of Brittany"
Marquess of Linlithgow Memorial,bronze,Victoria,Australia,"John Hope, 1st Marquess of Linlithgow"
Saint Longinus statue in Bom Jesus,granite,Braga,Portugal,Longinus
Equestrian statue of Absalon,bronze,Copenhagen Municipality,Denmark,Absalon
Carl Nielsen memorial,bronze,Copenhagen Municipality,Denmark,Pan flute
Queen Margareta,bronze,Roskilde Municipality,Denmark,Margaret I of Denmark
