col0,col1,col2,col3
Niger,1018.76,West African CFA franc,17138707
Burkina Faso,1866.161,West African CFA franc,19193382
Mali,2218.213,West African CFA franc,18541980
Central African Republic,727.486,Central African CFA franc,4987640
Chad,1945.295,Central African CFA franc,11039873
Uzbekistan,6879.568,Uzbekistani som,32387200
Turkmenistan,18030.95,Turkmenistan manat,5125693
South Sudan,1694.95,South Sudanese pound,12575714
Burundi,735.45,Burundian franc,10864245
Malawi,1204.748,Malawian kwacha,18622104
Lesotho,2932.031,Lesotho loti,2233339
Paraguay,13109.344,Paraguayan guaraní,6802295
Ethiopia,1903.238,Ethiopian birr,104957438
Nepal,2702.416,Nepalese rupee,29400000
