col0,col1,col2,col3
ARA La Argentina,17.22,Argentine Navy,Barrow-in-Furness
SS Arcadian,16.85,Royal Navy,Barrow-in-Furness
Republika,16.9,Československá námořní plavba,Sunderland
German auxiliary cruiser Stier,17.3,German Navy,Kiel
Estonian icebreaker Suur Tõll,17.5,Finnish Navy,Szczecin
SMS Preussen,16.3,Imperial German Navy,Szczecin
USS U. S. Grant,16.84,United States Navy,Szczecin
MV Methane Princess,25,British Gas plc,Barrow-in-Furness
MV Georgic,24.73,White Star Line,Belfast
MV Britannic,24.73,White Star Line,Belfast
MV Cap Finistère,25,Brittany Ferries,Kiel
MS Dieppe Seaways,25.4,DFDS,Kiel
HMT Royal Edward,18.35,Royal Navy,Govan
