col0,col1,col2,col3
Żejtun Batteries,Malta,1798-01-01,Żejtun
Lembi Battery,Malta,1757-01-01,Sliema
Wardija Battery,Malta,1915-01-01,St. Paul's Bay
Tarġa Battery,Malta,1887-01-01,St. Paul's Bay
Arrias Battery,Malta,1715-01-01,St. Paul's Bay
Żabbar Batteries and Redoubt,Malta,1798-01-01,Żabbar
Għargħar Battery,Malta,1798-01-01,San Ġwann
Battery Moltke,Jersey,1941-01-01,Saint Ouen
St Anthony's Battery,Malta,1732-01-01,Qala
St Paul's Battery,Malta,1881-01-01,Marsaxlokk
Żonqor Battery,Malta,1882-01-01,Marsaskala
Rinella Battery,Malta,1878-01-01,Kalkara
