col0,col1,col2,col3
Héloïse and Abélard's tomb,Père Lachaise Cemetery,France,20th arrondissement of Paris
Frédéric Chopin's tomb,Père Lachaise Cemetery,France,20th arrondissement of Paris
John F. Kennedy Eternal Flame,Arlington National Cemetery,United States of America,Arlington County
Tomb of Aline,Neues Museum,Egypt,Hawara
Klaas Ris' tomb,Amsterdam New Eastern Cemetery,Netherlands,Amsterdam
Everhardus Johannes Potgieter's tomb,Amsterdam New Eastern Cemetery,Netherlands,Amsterdam
Piet van Nek's tomb,Amsterdam New Eastern Cemetery,Netherlands,Amsterdam
Jan Albregt's tomb,Amsterdam New Eastern Cemetery,Netherlands,Amsterdam
Gerardus Frederik Westerman's tomb,Amsterdam New Eastern Cemetery,Netherlands,Amsterdam
Jan Willem Pieneman's tomb,Amsterdam New Eastern Cemetery,Netherlands,Amsterdam
Thérèse Schwartze's tomb,Amsterdam New Eastern Cemetery,Netherlands,Amsterdam
