col0,col1,col2,col3,col4,col5,col6
2016 French Super Series,2017 French Super Series,WikiProject Badminton/tournament focus list,France,2016-10-25,2016 French Super Series – Mixed doubles,badminton
2015 French Open Super Series,2016 French Super Series,WikiProject Badminton/tournament focus list,France,2015-10-20,2015 French Super Series – Mixed doubles,badminton
2014 French Super Series,2015 French Open Super Series,WikiProject Badminton/tournament focus list,France,2014-10-21,2014 French Super Series – Mixed doubles,badminton
2013 French Super Series,2014 French Super Series,WikiProject Badminton/tournament focus list,France,2013-10-22,2013 French Super Series – Mixed doubles,badminton
2012 French Super Series,2013 French Super Series,WikiProject Badminton/tournament focus list,France,2012-10-23,2012 French Super Series – Mixed doubles,badminton
2011 French Super Series,2012 French Super Series,WikiProject Badminton/tournament focus list,France,2011-10-25,2011 French Super Series – Mixed doubles,badminton
2010 French Super Series,2011 French Super Series,WikiProject Badminton/tournament focus list,France,2010-11-02,2010 French Super Series – Mixed doubles,badminton
2009 French Super Series,2010 French Super Series,WikiProject Badminton/tournament focus list,France,2009-10-27,2009 French Super Series – Mixed doubles,badminton
2007 French Super Series,2008 French Super Series,WikiProject Badminton/tournament focus list,France,2007-10-30,2007 French Super Series – Mixed doubles,badminton
2004 French Open Badminton Championships,2005 French Open Badminton Championships,WikiProject Badminton/tournament focus list,France,2004-03-17,2004 French Open Badminton Championships – Women's doubles,badminton
1949 French Open Badminton Championships,1950 French Open Badminton Championships,WikiProject Badminton/tournament focus list,France,1949-04-02,1949 French Open Badminton Championships – Mixed doubles,badminton
1943 French Open Badminton Championships,1944 French Open Badminton Championships,WikiProject Badminton/tournament focus list,France,1943-04-03,1943 French Open Badminton Championships – Mixed doubles,badminton
1913 French Open Badminton Championships,1935 French Open Badminton Championships,WikiProject Badminton/tournament focus list,France,1913-12-20,1913 French Open Badminton Championships – Mixed doubles,badminton
1912 French Open Badminton Championships,1913 French Open Badminton Championships,WikiProject Badminton/tournament focus list,France,1912-12-21,1912 French Open Badminton Championships – Mixed doubles,badminton
1911 French Open Badminton Championships,1912 French Open Badminton Championships,WikiProject Badminton/tournament focus list,France,1911-12-16,1911 French Open Badminton Championships – Mixed doubles,badminton
