col0,col1,col2,col3
Mykola Krotov,human,Kharkiv State Academy of Physical Culture,Ukrainian Soviet Socialist Republic
Milan Muškatirović,human,University of Belgrade,Socialist Federal Republic of Yugoslavia
Srećko Nedeljković,human,University of Belgrade,Serbia and Montenegro
Emanuel Lasker,human,Tulane University,German Empire
Sergey Belozyorov,human,AvtoVAZ,Soviet Union
Sieghart Dittmann,human,Humboldt University of Berlin,German Democratic Republic
Gerhard Hund,human,Bayer,German Democratic Republic
Georg Klaus,human,Humboldt University of Berlin,German Democratic Republic
Petr Starec,human,Masaryk University,Czechoslovakia
Milan Vukcevich,human,University of Arizona,Yugoslavia
Miroslav Katětov,human,Charles University,Czechoslovakia
Srećko Nedeljković,human,University of Belgrade,Yugoslavia
Lajos Asztalos,human,Eötvös Loránd University,Yugoslavia
