col0,col1,col2,col3,col4
Fırat University Faculty of Medicine,1983-01-01,Fırat University,faculty of medicine,Turkey
Faculty of Medicine of Sorocaba,1950-01-01,Pontifícia Universidade Católica de São Paulo,faculty of medicine,Brazil
"Faculty of Medicine Vajira Hospital, University of Bangkok Metropolis",1993-01-01,Navamindradhiraj University,faculty of medicine,Thailand
"Faculty of Medicine, University of Peradeniya",1962-01-01,University of Peradeniya,faculty of medicine,Sri Lanka
"Faculty of Medicine, Naresuan University",1994-01-18,Naresuan University,faculty of medicine,Thailand
"Faculty of Medicine, University of Colombo",1870-01-01,University of Colombo,faculty of medicine,Sri Lanka
"Faculty of Medicine, Dalhousie University",1868-01-01,Dalhousie University,faculty of medicine,Canada
"Faculty of Medicine, Ain Shams University",1928-01-01,Ain Shams University,faculty of medicine,Egypt
"Faculty of Medicine, Diponegoro University",1961-10-01,Diponegoro University,faculty of medicine,Indonesia
Li Ka Shing Faculty of Medicine,1887-01-01,University of Hong Kong,faculty of medicine,People's Republic of China
Masaryk University Faculty of Medicine,1919-01-01,Masaryk University,faculty of medicine,Czech Republic
"Faculty of Medicine, The Chinese University of Hong Kong",1981-01-01,The Chinese University of Hong Kong,faculty of medicine,People's Republic of China
faculty of Medicine of Montpellier,1289-01-01,University of Montpellier,faculty of medicine,France
"Faculty of Medicine, Tunis - El Manar",1964-01-01,Tunis El Manar University,faculty of medicine,Tunisia
