col0,col1,col2,col3,col4
2017 Austrian Badminton Championships,2016 Austrian Badminton Championships,Austria,badminton,2017-01-01
1980 Austrian Badminton Championships,1979 Austrian Badminton Championships,Austria,badminton,1980-01-01
1979 Austrian Badminton Championships,1978 Austrian Badminton Championships,Austria,badminton,1979-01-01
1978 Austrian Badminton Championships,1977 Austrian Badminton Championships,Austria,badminton,1978-01-01
1977 Austrian Badminton Championships,1976 Austrian Badminton Championships,Austria,badminton,1977-01-01
1975 Austrian Badminton Championships,1974 Austrian Badminton Championships,Austria,badminton,1975-01-01
1974 Austrian Badminton Championships,1973 Austrian Badminton Championships,Austria,badminton,1974-01-01
1973 Austrian Badminton Championships,1972 Austrian Badminton Championships,Austria,badminton,1973-01-01
1972 Austrian Badminton Championships,1971 Austrian Badminton Championships,Austria,badminton,1972-01-01
1990 Austrian Badminton Championships,1989 Austrian Badminton Championships,Austria,badminton,1990-01-01
1989 Austrian Badminton Championships,1988 Austrian Badminton Championships,Austria,badminton,1989-01-01
1988 Austrian Badminton Championships,1987 Austrian Badminton Championships,Austria,badminton,1988-01-01
1987 Austrian Badminton Championships,1986 Austrian Badminton Championships,Austria,badminton,1987-01-01
1986 Austrian Badminton Championships,1985 Austrian Badminton Championships,Austria,badminton,1986-01-01
1985 Austrian Badminton Championships,1984 Austrian Badminton Championships,Austria,badminton,1985-01-01
