col0,col1,col2,col3,col4,col5
2014 Tour de l'Avenir,2014-08-23,Davide Martinelli,2014-08-30,road bicycle racing,2015 Tour de l'Avenir
2013 Tour de l'Avenir,2013-08-24,Julian Alaphilippe,2013-08-31,road bicycle racing,2014 Tour de l'Avenir
2012 Tour de l'Avenir,2012-08-26,Mattia Cattaneo,2012-09-01,road bicycle racing,2013 Tour de l'Avenir
2011 Tour de l'Avenir,2011-09-04,Mattia Cattaneo,2011-09-11,road bicycle racing,2012 Tour de l'Avenir
2010 Tour de l'Avenir,2010-09-05,John Degenkolb,2010-09-12,road bicycle racing,2011 Tour de l'Avenir
2009 Tour de l'Avenir,2009-09-05,Tejay van Garderen,2009-09-13,road bicycle racing,2010 Tour de l'Avenir
2003 Tour de l'Avenir,2003-09-04,Samuel Dumoulin,2003-09-13,road bicycle racing,2004 Tour de l'Avenir
2002 Tour de l'Avenir,2002-09-05,Pierrick Fédrigo,2002-09-17,road bicycle racing,2003 Tour de l'Avenir
2001 Tour de l'Avenir,2001-09-06,Denis Menchov,2001-09-15,road bicycle racing,2002 Tour de l'Avenir
2000 Tour de l'Avenir,2000-08-31,David Moncoutié,2000-09-09,road bicycle racing,2001 Tour de l'Avenir
