col0,col1,col2,col3,col4,col5,col6
SNR B013042+30182,Triangulum,supernova remnant,23.380167,20.25,J2000.0,30.559278
[JWM2012] BW-77,Andromeda,supernova remnant,11.2270039842256,15.852,J2000.0,41.5300527828122
WISE J033743.02+504547.6,Perseus,supernova remnant,54.4309,18,J2000.0,50.7646
[BWL2012] 157,Hydra,supernova remnant,204.2682775228424,20.3002,J2000.0,-29.8967834045892
ELAISC15 J160724+544329,Draco,supernova remnant,241.85075,15.937,J2000.0,54.725028
[LB2005] NGC 3031 X6,Ursa Major,supernova remnant,148.790792,18.13,J2000.0,69.068771
ELAISC15 J160747+534836,Draco,supernova remnant,241.9466833,15.61,J2000.0,53.8099944
2MASX J16085807+5418175,Draco,supernova remnant,242.241975,13.761,J2000.0,54.3048722
ELAISC15 J161527+543413,Draco,supernova remnant,243.8656,13.382,J2000.0,54.5701972
2MASX J16085388+5447345,Draco,supernova remnant,242.2245333,14.327,J2000.0,54.7929278
ChASeM33 J013350.89+303936.6,Triangulum,supernova remnant,23.462083,11.215,J2000.0,30.660167
[MPH2006] 196,Triangulum,supernova remnant,23.4958627952687,19.5028,J2000.0,30.5741574073336
