col0,col1,col2,col3
"Zoutsloot 51, Harlingen",building with triangular gable,Netherlands,Harlingen
"Korte Haven 14, Schiedam",building with clock gable,Netherlands,Schiedam
"Korte Haven 7, Schiedam",building with clock gable,Netherlands,Schiedam
"Boterstraat 48, Schiedam",building with clock gable,Netherlands,Schiedam
"Cattenhagestraat 23, Naarden",building with clock gable,Netherlands,Gooise Meren
"Herengracht 51, Muiden",building with clock gable,Netherlands,Gooise Meren
"Kerkstraat 35, Monnickendam",building with clock gable,Netherlands,Waterland
"Spanjaardstraat 52, Middelburg",building with clock gable,Netherlands,Middelburg
"Schuitvlotstraat 16, Middelburg",building with clock gable,Netherlands,Middelburg
"Kromme Weele 10, Middelburg",building with clock gable,Netherlands,Middelburg
