col0,col1,col2,col3,col4
Yavoriv Proving Ground,Ukraine,36153,proving ground,Yavoriv Raion
De Dellen,Netherlands,0.9,proving ground,Maastricht
"Polygon Wood, Zonnebeke",Belgium,68,proving ground,Zonnebeke
Leusderheide,Netherlands,9,proving ground,Leusden
Vrachelse Heide,Netherlands,1.49,proving ground,Oosterhout
Nevada Test and Training Range,United States of America,11740,proving ground,Lincoln County
Jungfernheide,Germany,200,proving ground,Charlottenburg-Wilmersdorf
Noorderhaaks,Netherlands,5,proving ground,Texel
Nevada National Security Site,United States of America,3500,proving ground,Nevada
Hradiště Military Area,Czech Republic,280.801659,proving ground,Karlovy Vary District
Balloërveld,Netherlands,3.67,proving ground,Aa en Hunze
