col0,col1,col2,col3
2018 Australian National Time Trial Championships,2018-01-05,Australian National Time Trial Championships,road bicycle racing
2018 New Zealand National Under-23 Road Race Championships,2018-01-01,CN,cycle sport
2018 New Zealand National Under-23 Time Trial Championships,2018-01-05,CN,cycle sport
2018 Australian National Time Trial Championships,2018-01-05,CN,road bicycle racing
2018 Australian National Under-23 Time Trial Championships,2018-01-04,CN,road bicycle racing
2017 New Zealand National Road Race Championships,2017-01-07,New Zealand National Road Race Championships (women),road bicycle racing
2017 Australian National Road Race Championships,2017-01-08,Australian National Road Race Championships (women),road bicycle racing
2017 Australian National Criterium Championships,2017-01-04,Australian National Criterium Championships (women),road bicycle racing
2017 Australian National Time Trial Championships,2017-01-05,Australian National Time Trial Championships (women),road bicycle racing
2017 South African National Time Trial Championships,2017-02-09,South African National Time Trial Championships (women),road bicycle racing
2016 Lithuanian National Time Trial Championships,2016-06-24,Lithuanian National Time Trial Championships,cycle sport
2016 Luxembourgish National Road Race Championships,2016-06-26,Luxembourgish National Road Race Championships,cycle sport
2016 German National Time Trial Championships,2016-06-24,German National Time Trial Championships,cycle sport
2016 French National Time Trial Championships,2016-06-23,French National Time Trial Championships,road bicycle racing
