col0,col1,col2,col3
Espurr,Pokémon universe,psychic-type Pokémon,35
Delphox,Pokémon universe,psychic-type Pokémon,39
Mew,Pokémon universe,psychic-type Pokémon,4
Uxie,Pokémon universe,psychic-type Pokémon,0.3
Mime Jr.,Pokémon universe,psychic-type Pokémon,13
Exeggutor,Pokémon universe,psychic-type Pokémon,120
Woobat,Pokémon universe,psychic-type Pokémon,21
Solosis,Pokémon universe,psychic-type Pokémon,1
Sigilyph,Pokémon universe,psychic-type Pokémon,14
Gothorita,Pokémon universe,psychic-type Pokémon,18
Gothitelle,Pokémon universe,psychic-type Pokémon,44
Elgyem,Pokémon universe,psychic-type Pokémon,9
Duosion,Pokémon universe,psychic-type Pokémon,8
Lunatone,Pokémon universe,psychic-type Pokémon,168
Xatu,Pokémon universe,psychic-type Pokémon,15
