col0,col1,col2,col3,col4,col5
Philippines,6.8,81413504334,877168636231,Eastern Tawbuid,Palawan Island
Sri Lanka,4.3,7959047614,275824969701,English,history of Sri Lanka
Qatar,2.7,15007730964,339525944602,Gulf Arabic,Doha
Seychelles,4.4,545203276,2810841936,French,La Digue
Japan,0.37,1264140980383,5333444402843,Ainu,Western Japan
Czech Republic,2.4,147976372277,402796088543,German,Bohemia
New Zealand,4,20683740690,195339966888,English,Waiheke Island
Sweden,3.3,62191481193,517013807222,Finnish,Scania
Belgium,1.2,26151437584,561910911173,French,Flanders
Greece,0,7803722132,307366516011,Turkish,Greek Islands
Sweden,3.3,62191481193,517013807222,Yiddish,Bohuslän
Bahamas,0,1413972940,12056433388,English,Grand Bahama
