col0,col1,col2,col3
Leicester Castle,Grade I listed building,Leicester,motte-and-bailey castle
Hen Domen,scheduled monument,Montgomery,motte-and-bailey castle
Groby Castle,scheduled monument,Groby,motte-and-bailey castle
Eye Castle,scheduled monument,Eye,motte-and-bailey castle
Elsdon Castle,scheduled monument,Elsdon,motte-and-bailey castle
Eastcotts Castle,scheduled monument,Eastcotts,motte-and-bailey castle
Cainhoe Castle,scheduled monument,Bedfordshire,motte-and-bailey castle
"Bury Castle Camp, Brompton Regis",scheduled monument,Somerset,motte-and-bailey castle
Bishopton Castle,scheduled monument,County Durham,motte-and-bailey castle
Berkhamsted Castle,scheduled monument,Berkhamsted,motte-and-bailey castle
Bedford Castle,scheduled monument,Bedford,motte-and-bailey castle
Bakewell Castle,scheduled monument,Bakewell,motte-and-bailey castle
Poype de Villars-les-Dombes,monument historique classé,Villars-les-Dombes,motte-and-bailey castle
