col0,col1,col2,col3,col4
Shabla Municipality,41,329.64,municipality of Bulgaria,Shabla
Chiprovtsi Municipality,693,286.88,municipality of Bulgaria,Chiprovtsi
Kameno Municipality,85,354.95,municipality of Bulgaria,Kameno
Karnobat Municipality,208,835.47,municipality of Bulgaria,Karnobat
Pomorie Municipality,138,413.19,municipality of Bulgaria,Pomorie
Topolovgrad Municipality,328,710.88,municipality of Bulgaria,Topolovgrad
Mezdra Municipality,218,519.11,municipality of Bulgaria,Mezdra
Sadovo Municipality,149,192.86,municipality of Bulgaria,Sadovo
Bratsigovo Municipality,815,229.425,municipality of Bulgaria,Bratsigovo
Boboshevo Municipality,518,135.14,municipality of Bulgaria,Boboshevo
Mineralni Bani Municipality,395,214.67,municipality of Bulgaria,Mineralni Bani
