col0,col1,col2,col3,col4,col5,col6
NGC 3822,William Herschel,HCG 58,175.5462502590625,J2000.0,6047.8,1784-03-15
NGC 1566,James Dunlop,[TSK2008] 933,65.001675003773,J2000.0,1504,1826-05-28
NGC 1365,James Dunlop,[TSK2008] 843,53.4019083,J2000.0,1638,1826-11-24
NGC 5273,William Herschel,[TSK2008] 800,205.5349417,J2000.0,1084,1785-05-01
NGC 5033,William Herschel,[TSK2008] 797,198.3647292,J2000.0,873,1785-05-01
Phoenix Dwarf,Hans-Emil Schuster,[TSK2008] 222,27.77625,J2000.0,-52,1976-01-01
NGC 4168,William Herschel,[TSK2008] 177,183.0718083,J2000.0,2273,1784-04-08
NGC 6434,William Herschel,[TSK2008] 1320,264.2032961094968,J2000.0,2488,1788-06-06
NGC 3259,William Herschel,[TSK2008] 121,158.1452686492997,J2000.0,1671,1791-04-03
NGC 7314,John Frederick William Herschel,[TSK2008] 1129,338.9424874752482,J2000.0,1427,1834-07-29
NGC 4151,William Herschel,[TSK2008] 107,182.6357382282221,J2000.0,949.5,1787-03-17
NGC 4138,William Herschel,[TSK2008] 102,182.3741167,J2000.0,872,1788-01-01
NGC 3982,William Herschel,[TSK2008] 102,179.1173708,J2000.0,1108,1789-04-14
