col0,col1,col2,col3,col4
HD 162754,-0.43,4985,1.7096602382137,J2000.0
TYC 3547-2135-1,-0.11,7731,47.9785983499413,J2000.0
KIC 7938870,-0.15,6457,43.7063803323865,J2000.0
KIC 7740302,-0.24,6439,43.4597892023174,J2000.0
V* V2281 Cyg,-0.24,6475,45.9341847151189,J2000.0
HD 215325,-0.15,4334,44.7505411844501,J2000.0
V367 Cyg,-0.63,6671,39.2877007503143,J2000.0
HD 60335,-0.02,6899,43.030958359,J2000.0
HD 172187,-0.31,7248,43.2218153399013,J2000.0
Zeta Andromedae,-0.05,5064,24.26717801417,J2000.0
UW Canis Majoris,0.24,32508,-24.5586977276355,J2000.0
Beta Lyrae,0.49,13263,33.36266943833,J2000.0
KOI-7458,0.1,5397,49.5257123018536,J2000.0
V* HR Leo,0.1,2653,-2.9722151664564,J2000.0
KOI-6427,-0.26,6233,39.642823462261,J2000.0
