col0,col1,col2,col3,col4
Cornudella de Montsant,UTC+01:00,Bien de Interés Cultural,63.5,municipality of Catalonia
Besalú,UTC+01:00,Bien de Interés Cultural,4.9,municipality of Catalonia
French Quarter,Central Time Zone,National Historic Landmark,1.7,historic district
"Toroca, Potosi Bolivia",UTC−04:00,UNESCO World Heritage Site,1768,big city
Linhares,UTC±00:00,Heritage Ensemble of Public Interest,15.71,freguesia
"Toroca, Potosi Bolivia",UTC−04:00,UNESCO World Heritage Site,1768,municipality of Bolivia
French Quarter,Central Time Zone,National Historic Landmark,1.7,gay village
Ortygia,UTC+01:00,part of World Heritage Site,1,old town
Cornudella de Montsant,UTC+01:00,Bien de Interés Cultural,63.5,old town
French Quarter,Central Time Zone,National Historic Landmark,1.7,old town
Linhares,UTC±00:00,Heritage Ensemble of Public Interest,15.71,old town
Besalú,UTC+01:00,Bien de Interés Cultural,4.9,old town
