col0,col1,col2,col3
Block House,stone,1500-01-01,fortification
Mannerheim Line,reinforced concrete,1920-01-01,cultural heritage site in Russia
United States Bullion Depository,concrete,1936-12-01,bank vault
Alpine Wall,concrete,1931-01-01,fortified line
Bar Lev Line,reinforced concrete,1968-01-01,fortified line
Czechoslovak border fortifications,concrete,1935-01-01,fortified line
Mannerheim Line,reinforced concrete,1920-01-01,fortified line
Séré de Rivières system,cement,1874-01-01,fortified line
Czechoslovak border fortifications,concrete,1935-01-01,architectural structure
Alpine Wall,concrete,1931-01-01,fortification
United States Bullion Depository,concrete,1936-12-01,fortification
