col0,col1,col2,col3
Kaufungen Forest,Germany,Mittelgebirge,Hesse
Palatinate Forest,Germany,Mittelgebirge,Rhineland-Palatinate
Westerwald,Germany,Mittelgebirge,North Rhine-Westphalia
Kellerwald,Germany,Mittelgebirge,Hesse
Knüllgebirge,Germany,Mittelgebirge,Hesse
Vogelsberg,Germany,Mittelgebirge,Hesse
Oberpfalz Jura,Germany,Mittelgebirge,Bavaria
Spessart,Germany,Mittelgebirge,Bavaria
Reinhardswald,Germany,Mittelgebirge,Hesse
Vogelsberg,Germany,shield volcano,Hesse
Steigerwald,Germany,mountain range,Bavaria
