col0,col1,col2,col3
Bobbin lace corner inv. 3524,1900-01-01,Art Nouveau,Arenys de Mar
Bobbin lace corner inv. 3513,1900-01-01,Art Nouveau,Arenys de Mar
Bobbin lace corner inv. 3506,1900-01-01,Art Nouveau,Arenys de Mar
Bobbin lace corner inv. 2882,1900-01-01,Art Nouveau,Arenys de Mar
Bobbin lace corner inv. 2879,1900-01-01,Art Nouveau,Arenys de Mar
Bobbin lace corner,1907-01-01,Art Nouveau,Arenys de Mar
Bobbin lace corner inv. 1487,1922-01-01,Art Nouveau,Arenys de Mar
Bobbin lace corner inv. 1484,1915-01-01,Art Nouveau,Arenys de Mar
Bobbin lace corner inv. 1483,1908-01-01,Art Nouveau,Arenys de Mar
Bobbin lace corner inv. 1482,1910-01-01,Art Nouveau,Arenys de Mar
"Bobbin lace corner, inv. 856",1908-01-01,Art Nouveau,Arenys de Mar
"Bobbin lace corner, inv. 125",1907-01-01,Art Nouveau,Arenys de Mar
"Bobbin lace corner, inv. 124",1900-01-01,Art Nouveau,Arenys de Mar
"Bobbin lace corner, inv. 122",1900-01-01,Art Nouveau,Arenys de Mar
"Bobbin lace corner, inv. 121",1900-01-01,Art Nouveau,Arenys de Mar
