col0,col1,col2,col3
dynamic,Brockhaus and Efron Encyclopedic Dictionary,musical parameter,music term
orchestra,Brockhaus and Efron Encyclopedic Dictionary,musical ensemble consisting solely of instruments,music term
singing,Armenian Soviet Encyclopedia,vocal music,music term
national anthem,Armenian Soviet Encyclopedia,hymn,music term
synesthesia,Armenian Soviet Encyclopedia,perceptual disorder,music term
concerto,Brockhaus and Efron Encyclopedic Dictionary,musical composition,music term
symphony,Brockhaus and Efron Encyclopedic Dictionary,musical composition,music term
ode,Brockhaus and Efron Encyclopedic Dictionary,lyric poetry,literary form
symphony,Brockhaus and Efron Encyclopedic Dictionary,musical composition,musical form
ode,Brockhaus and Efron Encyclopedic Dictionary,lyric poetry,literary genre
unison,Brockhaus and Efron Encyclopedic Dictionary,prime,interval
concerto,Brockhaus and Efron Encyclopedic Dictionary,musical composition,music genre
symphony,Brockhaus and Efron Encyclopedic Dictionary,musical composition,music genre
singing,Armenian Soviet Encyclopedia,vocal music,musical instrument
