col0,col1,col2,col3,col4
galerie des Variétés,galerie Feydeau,France,53,32
galerie de la Villette,avenue Jean-Jaurès,France,973,165
galerie Sainte-Foy,passage du Caire,France,18,3
galerie du Caire,galerie Sainte-Foy,France,82,3
galerie Sainte-Foy,galerie du Caire,France,18,3
galerie du Jardin,galerie des Proues,France,67,35
galerie de la Cour-d'Honneur,galerie des Proues,France,67,35
galerie de Nemours,galerie du Théâtre-Français,France,38,3
galerie de Chartres,galerie du Théâtre-Français,France,68,24
galerie des Proues,galerie du Jardin,France,42,6
galerie de Valois,galerie du Jardin,France,255,44
galerie de Montpensier,galerie du Jardin,France,227,44
galerie de Chartres,galerie du Jardin,France,68,24
