col0,col1,col2,col3,col4,col5
Wognum junction,junction,Netherlands,Wognum,1985-01-01,Medemblik
Den Dolder junction,junction,Netherlands,Den Dolder,1985-10-30,Zeist
Weesp junction,junction,Netherlands,Weesp,1982-01-01,Amsterdam
Ochten junction,junction,Netherlands,Ochten,1972-08-30,Neder-Betuwe
Veenendaal junction,junction,Netherlands,Veenendaal,2008-11-01,Ede
Maarssen A27 junction,junction,Netherlands,Maarssen,1971-09-21,Utrecht
Maarssen A2 junction,junction,Netherlands,Maarssen,1954-01-01,Stichtse Vecht
Leusden-Zuid junction,junction,Netherlands,Leusden-Zuid,1962-01-01,Amersfoort
Driebergen junction,junction,Netherlands,Driebergen,1955-10-14,Utrechtse Heuvelrug
Den Hoorn junction,junction,Netherlands,Den Hoorn,1999-01-01,Midden-Delfland
Soest junction,junction,Netherlands,Soest,1967-01-01,Baarn
Maasdijk junction,junction,Netherlands,Maasdijk,1975-03-21,Westland
Oostvoorne junction,junction,Netherlands,Oostvoorne,2004-01-01,Rotterdam
Spijkenisse junction,junction,Netherlands,Spijkenisse,1980-04-02,Rotterdam
Noordeloos junction,junction,Netherlands,Noordeloos,1960-07-07,Zederik
