col0,col1,col2,col3,col4,col5,col6,col7
Milwaukee 6156-20,98,grinding machine,520,angle grinder,14.2,Milwaukee Electric Tool Corporation,grinder model
DeWalt DW400,98,grinding machine,305,angle grinder,11,DeWALT,grinder model
Bosch 1375A,98,grinding machine,569,angle grinder,11.1,Robert Bosch GmbH,grinder model
Porter Cable PC750AG,99,grinding machine,757,angle grinder,9.9,Porter-Cable,grinder model
DeWalt 28402K,104,grinding machine,723,angle grinder,11.5,DeWALT,grinder model
Bosch 1752,99,grinding machine,1209,angle grinder,10.7,Robert Bosch GmbH,grinder model
Bosch 1752G7,102,grinding machine,971,angle grinder,9.7,Robert Bosch GmbH,grinder model
Ridgid R1000,96,grinding machine,435,angle grinder,5.6,Ridgid,grinder model
Hitachi G12SR2,94,grinding machine,257,angle grinder,6.7,Hitachi,grinder model
Bosch 1775E,98,grinding machine,-1,tuckpoint grinder,8.3,Robert Bosch GmbH,grinder model
Porter Cable 7430,98,grinding machine,311,angle grinder,10.4,Porter-Cable,grinder model
DeWalt DW402,98,grinding machine,327,angle grinder,10.8,DeWALT,grinder model
Makita GA7021,97,grinding machine,1029,angle grinder,4.4,Makita,grinder model
Bosch 1700A,96,grinding machine,346,angle grinder,4.5,Robert Bosch GmbH,grinder model
