col0,col1,col2,col3
41st César Awards,Salle Pleyel,40th César Awards,Claude Lelouch
34th César Awards,Théâtre du Châtelet,33rd César Awards,Charlotte Gainsbourg
31st César Awards,Théâtre du Châtelet,30th César Awards,Carole Bouquet
27th César Awards,Théâtre du Châtelet,26th César Awards,Nathalie Baye
33rd César Awards,Théâtre du Châtelet,32nd César Awards,Jean Rochefort
32nd César Awards,Théâtre du Châtelet,31st César Awards,Claude Brasseur
25th César Awards,Théâtre des Champs-Élysées,24th César Awards,Alain Delon
21st César Awards,Théâtre des Champs-Élysées,20th César Awards,Philippe Noiret
8th César Awards,Le Grand Rex,7th César Awards,Catherine Deneuve
26th César Awards,Théâtre des Champs-Élysées,25th César Awards,Daniel Auteuil
