col0,col1,col2,col3,col4
1976 Tour of the Netherlands,1976-08-29,Ronde van Nederland,1976-08-24,Gerrie Knetemann
1975 Tour of the Netherlands,1975-08-26,Ronde van Nederland,1975-08-21,Joop Zoetemelk
1977 Tour of the Netherlands,1977-08-27,Ronde van Nederland,1977-08-22,Sean Kelly
1983 Tour of the Netherlands,1983-08-27,Ronde van Nederland,1983-08-25,Herman Frison
1989 Tour of the Netherlands,1989-08-19,Ronde van Nederland,1989-08-14,Laurent Fignon
1984 Tour of the Netherlands,1984-08-25,Ronde van Nederland,1984-08-21,Gert-Jan Theunisse
1982 Tour of the Netherlands,1983-08-28,Ronde van Nederland,1982-08-23,Gerrie Knetemann
1981 Tour of the Netherlands,1981-08-15,Ronde van Nederland,1981-08-10,Gerrie Knetemann
1979 Tour of the Netherlands,1979-08-19,Ronde van Nederland,1979-08-13,Gerrie Knetemann
1985 Tour of the Netherlands,1985-08-25,Ronde van Nederland,1985-08-20,Eric Vanderaerden
1988 Tour of the Netherlands,1988-08-20,Ronde van Nederland,1988-08-15,Erik Breukink
1986 Tour of the Netherlands,1986-08-23,Ronde van Nederland,1986-08-18,Gerrie Knetemann
