col0,col1,col2,col3
Hellboy: The Troll Witch and Others,Hellboy,Hellboy: Darkness Calls,United States of America
Asterix the Gladiator,Cacofonix,Asterix and the Banquet,France
Asterix and the Class Act,Asterix,Asterix and the Falling Sky,France
Asterix in Spain,Cacofonix,Asterix and the Roman Agent,France
Asterix the Gaul,Obelix,Asterix and the Golden Sickle,France
Asterix in Switzerland,Asterix,The Mansions of the Gods,France
Asterix in Belgium,Asterix,Asterix and the Great Divide,France
Asterix and the Laurel Wreath,Asterix,Asterix and the Soothsayer,France
Asterix and Cleopatra,Cleopatra,Asterix and the Big Fight,France
Asterix in Corsica,Asterix,Asterix and Caesar's Gift,France
