col0,col1,col2,col3,col4,col5
1994 United States Senate election in California,United States Senate election,1992 United States Senate special election in California,United States senator,1994-11-08,2000 United States Senate election in California
1980 United States Senate election in Alabama,United States Senate election,1974 United States Senate elections,United States senator,1980-11-03,1986 United States Senate election in Alabama
1990 United States Senate election in Tennessee,United States Senate election,1984 United States Senate election in Tennessee,United States senator,1990-11-06,1994 United States Senate special election in Tennessee
1978 United States Senate election in North Carolina,United States Senate election,1972 United States Senate election in North Carolina,United States senator,1978-11-07,1984 United States Senate election in North Carolina
1976 United States Senate election in Virginia,United States Senate election,1970 United States Senate election in Virginia,United States senator,1976-11-02,1982 United States Senate election in Virginia
1964 United States Senate election in New Mexico,United States Senate election,1958 United States Senate elections,United States senator,1964-11-03,1970 United States Senate election in New Mexico
2008 United States Senate election in New Mexico,United States Senate election,2002 United States Senate election in New Mexico,United States senator,2008-11-04,2014 United States Senate election in New Mexico
2008 United States Senate election in New Jersey,United States Senate election,2002 United States Senate election in New Jersey,United States senator,2008-11-04,2013 United States Senate special election in New Jersey
1978 United States Senate election in New Mexico,United States Senate election,1972 United States Senate election in New Mexico,United States senator,1978-11-07,1984 United States Senate election in New Mexico
1974 United States Senate election in New York,United States Senate election,1968 United States Senate election in New York,United States senator,1974-11-05,1980 United States Senate election in New York
