col0,col1,col2,col3,col4,col5
2006 Scottish Open Badminton Championships,2006 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,2007 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
2012 Scottish Open Badminton Championships,2012 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,2013 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1999 Scottish Open Badminton Championships,1999 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,2000 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1997 Scottish Open Badminton Championships,1997 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1998 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1995 Scottish Open Badminton Championships,1995 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1996 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1992 Scottish Open Badminton Championships,1992 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1993 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1990 Scottish Open Badminton Championships,1990 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1991 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1988 Scottish Open Badminton Championships,1988 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1989 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1986 Scottish Open Badminton Championships,1986 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1987 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1984 Scottish Open Badminton Championships,1984 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1984 Scottish Open Badminton Championships (November),WikiProject Badminton/tournament focus list
1982 Scottish Open Badminton Championships,1982 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1983 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1974 Scottish Open Badminton Championships,1974 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1975 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
