col0,col1,col2,col3,col4
1960 UCI Road World Championships – Men's road race,UCI Road World Championships – Men's road race,men's individual road race,1960-08-14,Rik Van Looy
1959 UCI Road World Championships – Men's road race,UCI Road World Championships – Men's road race,men's individual road race,1959-08-14,Noël Foré
1969 UCI Road World Championships – Men's road race,UCI Road World Championships – Men's road race,men's individual road race,1969-08-10,Michele Dancelli
1968 UCI Road World Championships – Men's road race,UCI Road World Championships – Men's road race,men's individual road race,1968-09-01,Michele Dancelli
1967 UCI Road World Championships – Men's road race,UCI Road World Championships – Men's road race,men's individual road race,1967-09-03,Eddy Merckx
1976 UCI Road World Championships – Men's road race,UCI Road World Championships – Men's road race,men's individual road race,1976-09-05,Francesco Moser
1975 UCI Road World Championships – Men's road race,UCI Road World Championships – Men's road race,men's individual road race,1975-08-31,Roger De Vlaeminck
1966 UCI Road World Championships – Men's road race,UCI Road World Championships – Men's road race,men's individual road race,1966-08-28,Rudi Altig
1964 UCI Road World Championships – Men's road race,UCI Road World Championships – Men's road race,men's individual road race,1964-09-06,Jan Janssen
1963 UCI Road World Championships – Men's road race,UCI Road World Championships – Men's road race,men's individual road race,1963-08-11,Rik Van Looy
1981 UCI Road World Championships – Men's road race,UCI Road World Championships – Men's road race,men's individual road race,1981-08-30,Bernard Hinault
1980 UCI Road World Championships – Men's road race,UCI Road World Championships – Men's road race,men's individual road race,1980-08-31,Bernard Hinault
1993 UCI Road World Championships – Men's road race,UCI Road World Championships – Men's road race,men's individual road race,1993-01-01,Lance Armstrong
