col0,col1,col2,col3,col4
Bâtene,278,basin,Mauritania,Hodh Ech Chargui Region
Azeïlet,557,basin,Mauritania,Adrar Region
Aftoût el 'Azbé,390,basin,Mauritania,Hodh Ech Chargui Region
Krâ' Atîl,291,basin,Mauritania,Hodh Ech Chargui Region
Aghiert el Khcheb,289,basin,Mauritania,Hodh Ech Chargui Region
Grâret Ariafaïl,230,basin,Mauritania,Adrar Region
Gâ'at el Aoueïja,162,basin,Mauritania,Hodh El Gharbi Region
Grâra el Beïda el Met,307,basin,Mauritania,Tiris Zemmour Region
Dâyet el Bgar,373,basin,Mauritania,Hodh Ech Chargui Region
Dakhlet Djoûk,78,basin,Mauritania,Tagant Region
Greïr Edib,386,basin,Mauritania,Adrar Region
Chelkhet Ammoueïra,79,basin,Mauritania,Tagant Region
Grara Cheguira,373,basin,Mauritania,Adrar Region
Krâ Bou Trefia,282,basin,Mauritania,Adrar Region
Boû Satla,240,basin,Mauritania,Hodh El Gharbi Region
