col0,col1,col2,col3,col4
The Scarlet Letter,The Scarlet Letter,Cedric Gibbons,Victor Sjöström,black-and-white
A Little Princess,A Little Princess,Wilfred Buckland,Howard Hawks,black-and-white
The Student Prince in Old Heidelberg,The Student Prince in Old Heidelberg,Cedric Gibbons,Ernst Lubitsch,black-and-white
London After Midnight,London After Midnight,Cedric Gibbons,Tod Browning,black-and-white
The Kid,The Kid,Charles D. Hall,Charlie Chaplin,black-and-white
The Gold Rush,The Gold Rush,Charles D. Hall,Charlie Chaplin,black-and-white
Modern Times,Modern Times,Charles D. Hall,Charlie Chaplin,black-and-white
Blind Husbands,Blind Husbands,Erich von Stroheim,Erich von Stroheim,black-and-white
The Birth of a Nation,The Birth of a Nation,D. W. Griffith,D. W. Griffith,black-and-white
The Blackguard,The Blackguard,Alfred Hitchcock,Alfred Hitchcock,black-and-white
