col0,col1,col2,col3
1969 World All-Round Speed Skating Championships for Women,France,Kirsti Biermann,1969-01-01
1933 World All-Round Speed Skating Championships for Women,Norway,Helen Bina,1933-01-01
1934 World All-Round Speed Skating Championships for Women,Norway,Undis Blikken,1934-01-01
1933 World All-Round Speed Skating Championships for Women,Norway,Undis Blikken,1933-01-01
1947 World All-Round Speed Skating Championships for Women,Norway,Else Marie Christiansen,1947-01-01
1969 World All-Round Speed Skating Championships for Women,France,Lisbeth Korsmo,1969-01-01
1966 World All-Round Speed Skating Championships for Women,Norway,Irina Egorova,1966-01-01
1963 World All-Round Speed Skating Championships for Women,Japan,Jeanne Ashworth,1963-01-01
1969 World All-Round Speed Skating Championships for Women,France,Helena Pilejczyk,1969-01-01
1963 World All-Round Speed Skating Championships for Women,Japan,Elwira Seroczyńska,1963-01-01
1960 World All-Round Speed Skating Championships for Women,Sweden,Valentina Stenina,1960-01-01
1963 World All-Round Speed Skating Championships for Women,Japan,Valentina Stenina,1963-01-01
1960 World All-Round Speed Skating Championships for Women,Sweden,Tamara Rylova,1960-01-01
1969 World All-Round Speed Skating Championships for Women,France,Lāsma Kauniste,1969-01-01
