col0,col1,col2,col3,col4
München Karlsplatz station,Stachus,Haltepunkt,Germany,category 3 railway station
Berlin-Hermsdorf station,Hermsdorf,Haltepunkt,Germany,category 4 railway station
Bahnhof Köln-Chorweiler,Chorweiler,Haltepunkt,Germany,category 4 railway station
Mannheim ARENA/Maimarkt station,SAP Arena,station located on surface,Germany,category 4 railway station
Bonn UN Campus,UN Campus,station located on surface,Germany,category 5 railway station
Gronsdorf station,Gronsdorf,station located on surface,Germany,category 4 railway station
München-Obermenzing,Obermenzing,station located on surface,Germany,category 4 railway station
Dresden Freiberger Straße station,Freiberger Straße,station located on surface,Germany,category 5 railway station
Ottobrunn station,Ottobrunn,station located on surface,Germany,category 5 railway station
München-Leuchtenbergring station,Leuchtenbergring,station located on surface,Germany,category 4 railway station
Blumenkamp railway station,Blumenkamp,station located on surface,Germany,category 6 railway station
München-Berg am Laim station,Berg am Laim,station located on surface,Germany,category 4 railway station
