col0,col1,col2,col3
Teccio Viaduct,prestressed concrete,viaduct,Teccio del Tersè
Giuseppe Romita Viaduct,prestressed concrete,viaduct,Giuseppe Romita
Varennes-Montsoreau Bridge,steel,steel bridge,Montsoreau
Imus Bridge,concrete,concrete bridge,Imus
Varennes-Montsoreau Bridge,steel,road bridge,Montsoreau
Imus Bridge,concrete,road bridge,Imus
Varennes-Montsoreau Bridge,steel,bridge,Montsoreau
General Artigas Bridge,concrete,international bridge,José Gervasio Artigas
Maslenica Bridge,steel,deck arch bridge,Maslenica
Albert Bridge,wrought iron,steel bridge,"Albert, Prince Consort"
Maslenica Bridge,steel,steel bridge,Maslenica
Kaiser Wilhelm Bridge,steel,steel bridge,Wilhelm II
Hercilio Luz Bridge,steel,steel bridge,Hercílio Luz
