col0,col1,col2,col3,col4,col5,col6,col7
Hida-Kiyomi interchange,Tōkai-Hokuriku Expressway,Hida-Kawai parking area,Matsunokitoge parking area,road junction,2000-10-07,Japan,Takayama
Bijogi junction,Tokyo Gaikan Expressway,Toda-higashi interchange,Toda exit,road junction,1993-10-26,Japan,Toda
Fujikawa toll booth,Chūbu-Ōdan Expressway,Masuho interchange,Rokugo interchange,toll booth,2017-03-19,Japan,Fujikawa
Onumakoen toll gate,Dō-Ō Expressway,Mori interchange,Onumakoen interchange,toll booth,2012-11-10,Japan,Mori
Kuromatsunai JCT Toll Gate,Kuromatsunai Shindō,Kuromatsunai-minami interchange,Kuromatsunai junction,toll booth,2009-11-07,Japan,Kuromatsunai
Pippu junction toll gate,Asahikawa-Monbetsu Expressway,Pippu-kita interchange,Pippu junction,toll booth,2004-03-27,Japan,Pippu
Tomakomai-higashi toll gate,Hidaka Expressway,Numanohata-nishi interchange,Tomakomai-higashi interchange,toll booth,1978-10-24,Japan,Tomakomai
Sapporo-minami toll gate,Dō-Ō Expressway,Oyachi interchange,Kitahiroshima interchange,toll booth,1979-10-29,Japan,Sapporo
Hachinohe JCT toll booth,Hachinohe-Kuji Expressway,Hachinohe-Korekawa interchange,Hachinohe junction,toll booth,2014-03-29,Japan,Hachinohe
Fukushima junction toll booth,Tōhoku-Chūō Expressway,Fukushima-Ozaso interchange,Fukushima junction,toll booth,2016-09-11,Japan,Fukushima
Hida-Kiyomi interchange,Tōkai-Hokuriku Expressway,Hida-Kawai parking area,Matsunokitoge parking area,toll booth,2000-10-07,Japan,Takayama
Aomori-Chuo toll booth,Aomori Expressway,Aomori-higashi interchange,Aomori-Chuo interchange,toll booth,2003-09-28,Japan,Aomori
Bijogi junction,Tokyo Gaikan Expressway,Toda-higashi interchange,Toda exit,toll booth,1993-10-26,Japan,Toda
Akita airport toll booth,Nihonkai-Tōhoku Expressway,Akita Airport interchange,Iwaki interchange,toll booth,2007-03-30,Japan,Akita
Oguraike toll booth,Second Keihan Highway,Oguraike interchange,Fushimi interchange,toll booth,2008-01-19,Japan,Kyoto
