col0,col1,col2,col3
Izaro,brand,1922-01-01,1920-01-01
Murillo,brand,1975-01-01,1934-01-01
Mercedes,brand,1926-01-01,1902-01-01
Simplic,brand,1923-01-01,1914-01-01
Railton,brand,1940-01-01,1933-01-01
PDA,brand,1913-01-01,1912-01-01
EA Sports Big,brand,2008-01-01,2000-01-01
Junior vehicles,brand,1956-01-01,1955-01-01
Meteorite cars,brand,1924-01-01,1912-01-01
Lloyd & Plaister,brand,1910-01-01,1903-01-01
Alta Car and Engineering Company,brand,1956-01-01,1929-01-01
Lecoy,brand,1922-01-01,1921-01-01
Warren-Lambert,brand,1922-01-01,1912-01-01
Whitlock,brand,1991-01-01,1778-01-01
Rootes Group,brand,1971-01-01,1913-01-01
