col0,col1,col2,col3,col4
2013 Belgian International Badminton Championships,WikiProject Badminton/tournament focus list,2013-01-01,badminton,2012 Belgian International Badminton Championships
2009 Belgian International Badminton Championships,WikiProject Badminton/tournament focus list,2009-01-01,badminton,2008 Belgian International Badminton Championships
2008 Belgian International Badminton Championships,WikiProject Badminton/tournament focus list,2008-01-01,badminton,2007 Belgian International Badminton Championships
2007 Belgian International Badminton Championships,WikiProject Badminton/tournament focus list,2007-01-01,badminton,2006 Belgian International Badminton Championships
1931 Belgian International Badminton Championships,WikiProject Badminton/tournament focus list,1931-01-01,badminton,1930 Belgian International Badminton Championships
1984 Belgian International Badminton Championships,WikiProject Badminton/tournament focus list,1984-01-01,badminton,1983 Poona Open Badminton Championships
1980 Belgian International Badminton Championships,WikiProject Badminton/tournament focus list,1980-01-01,badminton,1977 Belgian International Badminton Championships
1962 Belgian International Badminton Championships,WikiProject Badminton/tournament focus list,1962-01-01,badminton,1959 Belgian International Badminton Championships
1969 Belgian International Badminton Championships,WikiProject Badminton/tournament focus list,1969-01-01,badminton,1962 Belgian International Badminton Championships
1970 Belgian International Badminton Championships,WikiProject Badminton/tournament focus list,1970-01-01,badminton,1969 Belgian International Badminton Championships
2001 Belgian International Badminton Championships,WikiProject Badminton/tournament focus list,2001-01-01,badminton,1989 Poona Open Badminton Championships
