col0,col1,col2,col3
Artsy artist ID,50000,Artsy,Visual AIDS Artist+ Registry ID
ULAN ID,293158,Union List of Artist Names,Visual AIDS Artist+ Registry ID
Hoopla artist ID,649879,Hoopla,Hoopla publisher ID
Whitney Museum of American Art artist ID,3533,Whitney Museum of American Art,Whitney Museum of American Art artwork ID
Stuttgart Database of Scientific Illustrators ID,12500,The Stuttgart Database of Scientific Illustrators 1450–1950,Dutch Instrument Makers ID
ARTIC artist ID,9990,ARTIC,ARTIC exhibition ID
ULAN ID,293158,Union List of Artist Names,Getty Iconography Authority ID
Hoopla artist ID,649879,Hoopla,Hoopla title ID
artist-info artist ID,182800,artist-info,artist-info exhibition ID
ULAN ID,293158,Union List of Artist Names,artist-info exhibition ID
Boijmans artist ID,4681,Collectie Boijmans Online,Boijmans work ID
artist-info artist ID,182800,artist-info,artist-info location ID
RKDartists ID,364348,RKDartists,artist-info location ID
