col0,col1,col2,col3
Placy-Montaigu,Saint-Ouen-des-Besaces,France,Placy
Saint-Martin-des-Besaces,Saint-Ouen-des-Besaces,France,La Ferrière-au-Doyen
Le Lude,Coulongé,France,Dissé-sous-le-Lude
L'Oudon,Saint-Pierre-sur-Dives,France,Lieury
Danvou-la-Ferrière,Roucamps,France,Danvou
Châtillon-en-Michaille,Le Grand-Abergement,France,Châtillon-de-Michaille
Belmont-Luthézieu,Artemare,France,Belmont
Treigny,Saint-Amand-en-Puisaye,France,Perreuse
Rion-des-Landes,Lesperon,France,Boos
Chazey-Bons,Belley,France,Pugieu
Rion-des-Landes,Boos,France,Boos
Chazey-Bons,Pugieu,France,Pugieu
