col0,col1,col2,col3
Johann,Robert H Jones,6000,114
Clara,Richard Davies,5780,106.15
Laura,Messrs Phillips & Co.,8063,108.2
Wilson Hawk,Wilson,4284,91.2
Wilson Ruhr,Wilson,1831,78.3
Wilson Garston,Wilson,2801,82.51
Wilson Caen,Wilson,4451,99.9
Normandie,Compagnie Générale Transatlantique,36120,189.7
Barbarossa,Norddeutscher Lloyd,3176,82.5
Panta Rhei,Zürichsee-Schiffahrtsgesellschaft,3755,56.6
Wilson Alicante,Wilson,3600,88.24
Wilson Weser,Wilson,2460,82.5
Wilson Narvik,Wilson,8354,123.04
Wilson Dvina,Wilson,3221,87.42
