col0,col1,col2,col3
Locust Township,Columbia County,township of Pennsylvania,Conyngham Township
Dorrance Township,Luzerne County,township of Pennsylvania,Conyngham Township
Conyngham Township,Luzerne County,township of Pennsylvania,Dorrance Township
Conyngham Township,Columbia County,township of Pennsylvania,Locust Township
Buck Township,Luzerne County,township of Pennsylvania,Kidder Township
Conyngham Township,Luzerne County,township in the United States,Dorrance Township
Haverford Township,Delaware County,township of Pennsylvania,Radnor
Cheltenham Township,Montgomery County,township of Pennsylvania,Abington Township
Springfield Township,Montgomery County,township of Pennsylvania,Abington Township
Bensalem Township,Bucks County,township of Pennsylvania,Philadelphia
Ransom Township,Lackawanna County,township of Pennsylvania,Duryea
Newtown Township,Bucks County,township of Pennsylvania,Newtown
