col0,col1,col2,col3
Machov,Czech Republic,Bělý,municipality of the Czech Republic
Loučeň,Czech Republic,Patřín,municipality of the Czech Republic
Pavlíkov,Czech Republic,Tytry,municipality of the Czech Republic
Měcholupy,Czech Republic,Želeč,municipality of the Czech Republic
Lhenice,Czech Republic,Hrbov,municipality of the Czech Republic
Levín,Czech Republic,Horní Vysoké,municipality of the Czech Republic
Ledenice,Czech Republic,Ohrazení (Ledenice),municipality of the Czech Republic
Trhová Kamenice,Czech Republic,Hluboká (Trhová Kamenice),municipality of the Czech Republic
Krucemburk,Czech Republic,Hluboká,municipality of the Czech Republic
Klenčí pod Čerchovem,Czech Republic,Černá Řeka,municipality of the Czech Republic
Pecka,Czech Republic,Bukovina u Pecky,municipality of the Czech Republic
Kunvald,Czech Republic,Zaječiny,municipality of the Czech Republic
Kácov,Czech Republic,Zderadinky,market town
Svojanov,Czech Republic,Starý Svojanov,market town
Chroustovice,Czech Republic,Březovice (Chroustovice),market town
