col0,col1,col2,col3,col4,col5,col6
2014 Tour of the Basque Country,2014-04-12,BMC Racing 2014,Alberto Contador,road bicycle racing,Itzulia Basque Country,Katusha 2014
2017 Tour of the Basque Country,2017-04-08,Lluís Mas,Sergio Henao,road bicycle racing,Itzulia Basque Country,Bahrain-Merida 2017
2013 Tour of the Basque Country,2013-04-06,2013 Movistar Team season,Alberto Contador,road bicycle racing,Itzulia Basque Country,AG2R La Mondiale 2013
2012 Tour of the Basque Country,2012-04-07,Marco Pinotti,Tony Martin,road bicycle racing,Itzulia Basque Country,2012 Movistar Team season
2017 Tour of the Basque Country,2017-04-08,Alex Howes,Primož Roglič,road bicycle racing,Itzulia Basque Country,Bahrain-Merida 2017
2016 Tour of the Basque Country,2016-04-09,Sky 2016,Alberto Contador,road bicycle racing,2.UWT,Sky 2016
2015 Tour of the Basque Country,2015-04-11,Omar Fraile,Rui Costa,road bicycle racing,Itzulia Basque Country,BMC Racing 2015
2014 Tour of the Basque Country,2014-04-12,Alberto Contador,Yuri Trofimov,road bicycle racing,Itzulia Basque Country,2014 Movistar Team season
2016 Tour of the Basque Country,2016-04-09,Sky 2016,Alberto Contador,road bicycle racing,Itzulia Basque Country,Sky 2016
2014 Tour of the Basque Country,2014-04-12,Alberto Contador,Alberto Contador,road bicycle racing,Itzulia Basque Country,2014 Movistar Team season
