col0,col1,col2,col3,col4
Ice hockey at the 1960 Winter Olympics,United States of America,1960-01-01,Olympic sports discipline event,Ice hockey at the 1964 Winter Olympics
Ice hockey at the 1980 Winter Olympics,United States of America,1980-01-01,Olympic sports discipline event,Ice hockey at the 1984 Winter Olympics
Ice hockey at the 1948 Winter Olympics,Switzerland,1948-01-01,Olympic sports discipline event,Ice hockey at the 1952 Winter Olympics
Ice hockey at the 1972 Winter Olympics,Japan,1972-01-01,Olympic sports discipline event,Ice hockey at the 1976 Winter Olympics
Ice hockey at the 1932 Winter Olympics,United States of America,1932-01-01,Olympic sports discipline event,Ice hockey at the 1936 Winter Olympics
Ice hockey at the 1998 Winter Olympics,Japan,1998-01-01,Olympic sports discipline event,Ice hockey at the 2002 Winter Olympics
Ice hockey at the 1968 Winter Olympics,France,1968-01-01,Olympic sports discipline event,Ice hockey at the 1972 Winter Olympics
Ice hockey at the 2010 Winter Olympics,Canada,2010-01-01,Olympic sports discipline event,Ice hockey at the 2014 Winter Olympics
Ice hockey at the 1936 Winter Olympics,Germany,1936-01-01,Olympic sports discipline event,Ice hockey at the 1948 Winter Olympics
Ice hockey at the 2014 Winter Olympics,Russia,2014-01-01,Olympic sports discipline event,Ice hockey at the 2018 Winter Olympics
