col0,col1,col2,col3
cowshed–stable in Riihiaho farm,cowshed,protected by the law on the protection of the architectural heritage in Finland,1870-01-01
graystone cowshed in Kourla manor,cowshed,protected by the law on the protection of the architectural heritage in Finland,1861-01-01
cowshed in Pikkala manor,cowshed,protected by the law on the protection of the architectural heritage in Finland,1863-01-01
cowshed in Ahvenkoski Manor,cowshed,protected by the law on the protection of the architectural heritage in Finland,1892-01-01
cowshed in Sundmalm farm,cowshed,protected by the law on the protection of the architectural heritage in Finland,1917-01-01
cowshed in Ollila farm,cowshed,protected by the law on the protection of the architectural heritage in Finland,1893-01-01
cowshed in Sjögrannas,cowshed,protected by the law on the protection of the architectural heritage in Finland,1909-01-01
cowshed and stable building in Ojakkala farm,cowshed,protected by the law on the protection of the architectural heritage in Finland,1928-01-01
cowshed in Small-Toijola farm,cowshed,protected by the law on the protection of the architectural heritage in Finland,1890-01-01
cowshed in Biskopsböle manor,cowshed,protected by the law on the protection of the architectural heritage in Finland,1850-01-01
cowshed in Toikka farm,cowshed,protected by the law on the protection of the architectural heritage in Finland,1870-01-01
cowshed in Markkula farm,cowshed,protected by the law on the protection of the architectural heritage in Finland,1896-01-01
cowshed in Old Loukasmäki,cowshed,protected by the law on the protection of the architectural heritage in Finland,1920-01-01
