col0,col1,col2,col3,col4,col5
Parelheiros District,Brazil,São Paulo,district of São Paulo,153.5,131183
Marsilac District,Brazil,São Paulo,district of São Paulo,200,8258
Mandaqui District,Brazil,São Paulo,district of São Paulo,13.1,107580
Lajeado District,Brazil,São Paulo,district of São Paulo,9.2,164512
José Bonifácio District,Brazil,São Paulo,district of São Paulo,14.1,124122
Jardim Paulista District,Brazil,São Paulo,district of São Paulo,6.1,88692
Jaguara District,Brazil,São Paulo,district of São Paulo,4.6,24895
Itaquera District,Brazil,São Paulo,district of São Paulo,14.6,204871
Itaim Bibi District,Brazil,São Paulo,district of São Paulo,9.9,92570
Iguatemi District,Brazil,São Paulo,district of São Paulo,19.6,127662
