col0,col1,col2,col3
Striezelmarkt,occurrence,Germany,Dresden
Tupungato,lava dome,Chile,Tunuyán Department
Villarrica Volcano,guanine,Chile,Araucanía Region
Puerto de Tarna,mountain pass,Spain,Asturias
Saikū,ruins,Japan,Meiwa
Khreshchatyk,street,Ukraine,Pecherskyi District
Striezelmarkt,Christmas market,Germany,Dresden
Saikū,palace,Japan,Meiwa
Pico Tres Mares,mountain,Spain,Cantabria
Mocho-Choshuenco,mountain,Chile,El Ranco Province
Tinguiririca Volcano,mountain,Chile,Colchagua Province
Monte San Lorenzo,mountain,Chile,Cochrane
