col0,col1,col2,col3
São Cristóvão,Museu Paulista collection,1907-01-01,Brazil
Homenagem da 'Académie Des Sports' A Santos Dumont,Museu Paulista collection,1907-01-01,Brazil
Homenagem da 'Académie Des Sports' A Santos Dumont,Museu Paulista collection,1907-01-01,Brazil
Exposição Universal de Saint Louis: Silver Medal,Museu Paulista collection,1904-01-01,Brazil
Exposição Universal de Saint Louis: Grand Prix,Museu Paulista collection,1904-01-01,Brazil
Homenagem do Jornal de Notícas da Bahia A Santos Dumont,Museu Paulista collection,1903-01-01,Brazil
Homenagem A Santos Dumont,Museu Paulista collection,1901-01-01,Brazil
Homenagem A Carlos Gomes,Museu Paulista collection,1896-01-01,Brazil
Lembrança da Construção da Torre Eiffel,Museu Paulista collection,1889-01-01,Brazil
Homenagem da Colônia Brasileira de Paris A Santos Dumont,Museu Paulista collection,1901-10-19,Brazil
