col0,col1,col2,col3,col4
Tencent Video,People's Republic of China,netcaster,2011-04-01,Tencent
C More,Norway,video streaming service,2017-01-01,Telia Company
Apple TV+,United States of America,video streaming service,2019-11-01,Apple Inc.
Atflick,Sweden,video streaming service,2012-01-01,Vionlabs
DC Universe,United States of America,video streaming service,2018-01-01,DC Entertainment
Tencent Video,People's Republic of China,video streaming service,2011-04-01,Tencent
CBS All Access,United States of America,video streaming service,2014-10-28,CBS Interactive
NetEase Music,People's Republic of China,video streaming service,2013-01-24,NetEase
Hotstar,India,video streaming service,2015-02-01,The Walt Disney Company
NRK TV,Norway,video streaming service,2003-01-01,Norwegian Broadcasting Corporation
Yle Areena,Finland,video streaming service,2007-06-15,Yle
