col0,col1,col2,col3,col4,col5
1972 Roller Hockey World Cup,12,1972-07-26,1972-08-05,66,Fédération Internationale de Roller Sports
1964 Roller Hockey World Cup,10,1964-05-23,1964-05-31,45,Fédération Internationale de Roller Sports
1989 Roller Hockey World Cup,12,1989-10-07,1989-10-15,48,Fédération Internationale de Roller Sports
1991 Roller Hockey World Cup,12,1991-07-19,1991-07-27,48,Fédération Internationale de Roller Sports
1988 Roller Hockey World Cup,10,1988-10-07,1988-10-15,45,Fédération Internationale de Roller Sports
1986 Roller Hockey World Cup,10,1986-09-13,1986-09-21,45,Fédération Internationale de Roller Sports
1984 Roller Hockey World Cup,10,1984-09-14,1984-09-22,45,Fédération Internationale de Roller Sports
1960 Roller Hockey World Cup,10,1960-05-07,1960-05-15,45,Fédération Internationale de Roller Sports
1982 Roller Hockey World Cup,22,1982-05-01,1982-05-16,161,Fédération Internationale de Roller Sports
1962 Roller Hockey World Cup,10,1962-03-28,1962-04-05,45,Fédération Internationale de Roller Sports
2015 FIRS Men's Roller Hockey World Cup,16,2015-06-20,2015-06-27,48,Fédération Internationale de Roller Sports
2010 FIRS Men's B-Roller Hockey World Cup,12,2010-10-23,2010-10-30,48,Fédération Internationale de Roller Sports
2013 FIRS Men's Roller Hockey World Cup,16,2013-09-20,2013-09-28,48,Fédération Internationale de Roller Sports
2005 Rink Hockey World Championship,16,2005-08-07,2005-08-14,48,Fédération Internationale de Roller Sports
