col0,col1,col2,col3,col4,col5,col6
Järva Rural Municipality,Järva County,Ambla Rural Municipality,Järva-Jaani,2017-01-01,Estonia,Eesti 1001
Tapa Rural Municipality,Lääne-Viru County,Tamsalu Rural Municipality,Tapa,2017-01-01,Estonia,Eesti 1001
Lääneranna Rural Municipality,Pärnu County,Lihula Rural Municipality,Lihula,2017-01-01,Estonia,Eesti 1001
Põhja-Sakala Rural Municipality,Viljandi County,Kõpu Rural Municipality,Suure-Jaani,2017-01-01,Estonia,Eesti 1001
Mulgi Rural Municipality,Viljandi County,Abja Rural Municipality,Abja-Paluoja,2017-10-24,Estonia,Eesti 1001
Lääne-Harju Rural Municipality,Harju County,Vasalemma Rural Municipality,Paldiski,2017-01-01,Estonia,Eesti 1001
Peipsiääre Rural Municipality,Tartu County,Pala Rural Municipality,Alatskivi,2017-01-01,Estonia,Eesti 1001
Jõhvi Rural Municipality,Ida-Viru County,Jõhvi City,Jõhvi,2005-01-01,Estonia,Eesti 1001
Viljandi Rural Municipality,Viljandi County,Kolga-Jaani Rural Municipality,Viljandi,2013-01-01,Estonia,Eesti 1001
Tartu Rural Municipality,Tartu County,Tabivere Rural Municipality,Kõrveküla,2017-01-01,Estonia,Eesti 1001
