col0,col1,col2,col3,col4
Telesto,294700,Telesto,Harold Reitsema,0
Anthe,197700,Anthe,Cassini,0.0011
Albiorix,16394000,Albiorix,Timothy B. Spahr,0.477
Janus,151500,Janus,Audouin Dollfus,0.0068
Siarnaq,18015400,Siarnaq,John J. Kavelaars,0.2961
Paaliaq,15024000,Paaliaq,John J. Kavelaars,0.3631
Erriapus,17604000,Erriapus,John J. Kavelaars,0.4724
Ijiraq,11442000,Ijiraq,John J. Kavelaars,0.3163
Kiviuq,11110000,Kiviuq,John J. Kavelaars,0.3288
Ymir,23130000,Ymir,John J. Kavelaars,0.3349
Atlas,137700,Atlas,Richard J. Terrile,0.0012
Albiorix,16394000,Albiorix,Matthew J. Holman,0.477
