col0,col1,col2,col3
V4024 Sagittarii,23933,star,-1.02
23 Sextantis,16800,star,-8.656
5 Lyncis,3930,star,-6.317
HD 203467,17338,star,6.328
HD 30076,25351,star,1.542
HD 97138,8511,star,6.775
SV* HV 2239,4000,variable star,-0.201
UCAC4 121-143598,4000,variable star,-9.229
NSV 140,6067,variable star,-17.347
UCAC4 509-047152,9,variable star,-10.809
[V78] 228,4731,variable star,-0.549
Omega Canis Majoris,21878,emission-line star,-10.918
HD 166,5465,infrared source,-177.573
KK Andromedae,11194,infrared source,-21.238
5 Aquarii,11200,infrared source,-4.891
