col0,col1,col2,col3,col4
Surrealist Objects and Poems,surrealist object,1937-11-01,United Kingdom,surrealist object
Picasso. Bleu et rose,Picasso's Rose Period,2018-09-18,France,Picasso's Blue Period
"Fantastic Art, Dada, Surrealism",Dada,1936-12-09,United States of America,fantastic art
The Armory Show at 100,Armory Show,2013-10-11,United States of America,Armory Show
Picasso. Bleu et rose,Picasso's Rose Period,2018-09-18,France,Picasso's Rose Period
Lucio Fontana : Rétrospective,Lucio Fontana,2014-04-25,France,Lucio Fontana
Miró : La couleur de mes rêves,Joan Miró,2018-10-03,France,Joan Miró
Pop Art - Icons that matter,pop art,2017-09-22,France,pop art
"Apollinaire, the vision of the poet",Guillaume Apollinaire,2016-04-06,France,Guillaume Apollinaire
Cubism and Abstract Art,Cubism,1936-03-02,United States of America,Cubism
