col0,col1,col2,col3,col4
Rembertów,19.3,Targówek,Poland,city district
Ursynów,43.79,Mokotów,Poland,city district
Targówek,24.22,Rembertów,Poland,city district
Wola,19.26,Żoliborz,Poland,city district
Ochota,9.72,Wola,Poland,city district
Bielany,32.34,Żoliborz,Poland,city district
Białołęka,73.04,Bielany,Poland,city district
Żoliborz,8.47,Bielany,Poland,city district
Bemowo,24.95,Żoliborz,Poland,city district
Śródmieście,15.57,Żoliborz,Poland,city district
Wawer,79.7,Rembertów,Poland,city district
Śródmieście,15.57,Żoliborz,Poland,central business district
Mokotów,35.42,Ochota,Poland,human settlement
Mistrzejowice,5.59,Wzgórza Krzesławickie,Poland,city district
Podgórze Duchackie,9.54,Swoszowice,Poland,city district
