col0,col1,col2,col3
Anthony Rapid,Guyana,51,Upper Demerara-Berbice
Akaiwanna Rapids,Guyana,67,Upper Demerara-Berbice
Bulletwood Rapids,Guyana,94,East Berbice-Corentyne
Ammamuri Rapids,Guyana,111,Cuyuni-Mazaruni
Espanol Rapid,Guyana,25,Cuyuni-Mazaruni
Bembaru Rapids,Guyana,106,Cuyuni-Mazaruni
Akinto Soela,Suriname,55,Para District
Arobidikolo,Suriname,100,Sipaliwini District
Aritapu Vallen,Suriname,107,Sipaliwini District
Arissoa Stroomversnelling,Suriname,40,Sipaliwini District
Apakoema Soela,Suriname,53,Sipaliwini District
Anjoemara Soela,Suriname,73,Sipaliwini District
Akoesoeweh Soela,Suriname,107,Sipaliwini District
Adenagadodede Soela,Suriname,27,Sipaliwini District
Aparkwa Rapids,Guyana,76,Barima-Waini
