col0,col1,col2,col3,col4
"Leadership, motherhood and the NHS : an interpretative phenomenological analysis of clinical psychologists' experience",Doctor of Clinical Psychology thesis,2015-01-01,University of Leeds,"Leadership, motherhood and the NHS : an interpretative phenomenological analysis of clinical psychologists' experience"
Understanding the bereavement experiences of Pakistani women following infant mortality,Doctor of Clinical Psychology thesis,2015-01-01,University of Leeds,Understanding the bereavement experiences of Pakistani women following infant mortality
Dental and medical student perceptions of alcohol as part of university life : an investigation using Q-methodology,Doctor of Clinical Psychology thesis,2014-01-01,University of Leeds,Dental and medical student perceptions of alcohol as part of university life : an investigation using Q-methodology
Parents' understanding of current and future treatments for cystic fibrosis and the implications for their child's future,Doctor of Clinical Psychology thesis,2014-01-01,University of Leeds,Parents' understanding of current and future treatments for cystic fibrosis and the implications for their child's future
Foster carers' experiences of multi-professional working,Doctor of Clinical Psychology thesis,2014-01-01,University of Leeds,Foster carers' experiences of multi-professional working
Experiences of food and relationships after bariatric surgery : an interpretative phenomenological analysis,Doctor of Clinical Psychology thesis,2014-01-01,University of Leeds,Experiences of food and relationships after bariatric surgery : an interpretative phenomenological analysis
General practitioners' beliefs about obesity and their decision to treat,Doctor of Clinical Psychology thesis,2013-01-01,University of Leeds,General practitioners' beliefs about obesity and their decision to treat
Exploring individual experiences of preparedness for bariatric surgery,Doctor of Clinical Psychology thesis,2012-01-01,University of Leeds,Exploring individual experiences of preparedness for bariatric surgery
Self referential and social cognition in adolescents with autistic spectrum disorder,Doctor of Clinical Psychology thesis,2012-01-01,University of Leeds,Self referential and social cognition in adolescents with autistic spectrum disorder
Persistence with non-functional problem solving in chronic pain,Doctor of Clinical Psychology thesis,2010-01-01,University of Leeds,Persistence with non-functional problem solving in chronic pain
Hope in primary caregivers' experience of first episode psychosis,Doctor of Clinical Psychology thesis,2010-01-01,University of Leeds,Hope in primary caregivers' experience of first episode psychosis
The wellbeing of carers of people with severe and enduring eating disorders,Doctor of Clinical Psychology thesis,2011-01-01,University of Leeds,The wellbeing of carers of people with severe and enduring eating disorders (SEED)
Exploring experiences and meanings of self harm in South Asian women in the UK,Doctor of Clinical Psychology thesis,2011-01-01,University of Leeds,Exploring experiences and meanings of self harm in South Asian women in the UK
Clinicians' journey of becoming mindfulness practitioners,Doctor of Clinical Psychology thesis,2011-01-01,University of Leeds,Clinicians' journey of becoming mindfulness practitioners
