col0,col1,col2,col3,col4,col5,col6
1998 Wimbledon Championships,tennis tournament edition,tennis,United Kingdom,1999 Wimbledon Championships,1998-06-22,1997 Wimbledon Championships
1948 Wimbledon Championships,tennis tournament edition,tennis,United Kingdom,1949 Wimbledon Championships,1948-06-21,1947 Wimbledon Championships
1947 Wimbledon Championships,tennis tournament edition,tennis,United Kingdom,1948 Wimbledon Championships,1947-06-23,1946 Wimbledon Championships
1946 Wimbledon Championships,tennis tournament edition,tennis,United Kingdom,1947 Wimbledon Championships,1946-06-24,1939 Wimbledon Championships
1932 Wimbledon Championships,tennis tournament edition,tennis,United Kingdom,1933 Wimbledon Championships,1932-06-20,1931 Wimbledon Championships
1931 Wimbledon Championships,tennis tournament edition,tennis,United Kingdom,1932 Wimbledon Championships,1931-06-22,1930 Wimbledon Championships
1930 Wimbledon Championships,tennis tournament edition,tennis,United Kingdom,1931 Wimbledon Championships,1930-06-23,1929 Wimbledon Championships
1929 Wimbledon Championships,tennis tournament edition,tennis,United Kingdom,1930 Wimbledon Championships,1929-06-24,1928 Wimbledon Championships
1928 Wimbledon Championships,tennis tournament edition,tennis,United Kingdom,1929 Wimbledon Championships,1928-06-25,1927 Wimbledon Championships
1927 Wimbledon Championships,tennis tournament edition,tennis,United Kingdom of Great Britain and Ireland,1928 Wimbledon Championships,1927-06-20,1926 Wimbledon Championships
1926 Wimbledon Championships,tennis tournament edition,tennis,United Kingdom of Great Britain and Ireland,1927 Wimbledon Championships,1926-06-21,1925 Wimbledon Championships
